,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,3
24,5
25,8
26,4
27,12
28,30
29,17
30,37
31,34
32,47
33,33
34,46
35,40
36,18
37,29
38,31
39,19
40,19
41,9
42,12
43,9
44,10
45,13
46,9
47,11
48,11
49,16
50,11
51,12
52,12
53,14
54,16
55,9
56,4
57,18
58,12
59,18
60,16
61,14
62,13
63,12
64,9
65,10
66,9
67,12
68,4
69,3
70,4
71,8
72,4
73,3
74,2
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
