ALLG-72;AMERICAN EXPERIENCE;AT2000 (Suavizada 10%)_FEM;AT2000 (Suavizada 10%)_MAS;AT-2000 FEMALE;AT-2000 MALE;AT-49 FEMALE;AT-49 MALE;AT-50;AT-55;AT-71;AT-83 FEMALE (Basic);AT-83 FEMALE (IAM);AT-83 MALE (Basic);AT-83 MALE (IAM);BR-EMSmt-v.2010-f;BR-EMSmt-v.2010-m;BR-EMSsb-v.2010-f;BR-EMSsb-v.2010-m;BR-EMSmt-v.2015-f;BR-EMSmt-v.2015-m;BR-EMSsb-v.2015-f;BR-EMSsb-v.2015-m;BR-EMSmt-v.2021-f;BR-EMSmt-v.2021-m;BR-EMSsb-v.2021-f;BR-EMSsb-v.2021-m;CSG-60;CSO-41;CSO-58;CSO58 - FEM - AGE LAST;CSO58 - FEM - AGE NEAREST;CSO58 - MAS - AGE LAST;CSO58 - MAS - AGE NEAREST;CSO58 FEMALE;CSO58 MALE;CSO80;EB7-75;GAM-71 FEMALE;GAM-71 MALE;GAM-83 - FEMALE (suav 10%);GAM83_BÁSICA - FEMALE;GAM83_BÁSICA - MASC;GAM-83 - MASC (suav 10%);GAM-94 FEMALE;GAM-94MALE;GKF-95;GKM-70;GKM-80;GKM-95;GR-95 MALE;GR-95FEMALE;GRUPAL AMERICANA;HUNTER SEMITROPICAL;IBGE 2006              Ambos os Sexos;IBGE 2007                 Ambos os Sexos;IBGE 2008                 Ambos os Sexos;IBGE 2009                 Ambos os Sexos;Prudential-50;Rentiers Français;RP-2000 FEMALE;RP-2000MALE;SGB-51;SGB-71;SGB-75;UP-84 F;UP-84 M;UP84_MAS_&_FEM;UP-94 FEMALE;UP-94 MALE;USTP-61;X-17;BENTZIEN;Experiência CAP;GRUPAL AMERICANA;IAPC;IBA (FERROVIARIOS);MULLER;RP-2000 DISABLED FEMALE;RP-2000 DISABLED MALE;RRB-44;TASA/1927;WINKLEVOSS;ZIMMERMANN;ZIMMERMANN (FERR. ALEMAES);ALVARO VINDAS;GRUPO AMERICANA;HUNTER'S;IAPB-57 Forte;IAPB-57 FRACA;IBA (FERROVIARIOS);LIGHT FORTE;LIGHT MEDIA;MULLER;PRUDENTIAL (FERR. APOSENT.);RGPS-99/02 M.M;RRB-1944 Mod - Fem;RRB-1944 Mod - Masc;TASA-1927;WYATT 1985 ;ZIMMERMANN EMPR. ESCRIT;Atuários Ingleses;Hubbard Laffitte;J.P. Jansen;Kinkelin;Moser;Samuel Dumas
1.3;0.1547;0.001615;0.00208;0.001794;0.002311;0.00321;0.00404;0;0;0;0;0.001835;0;0.00269;0.00128;0.00274;0.00038;0.002;0.0004151;0.0003911;0.0003438;0.0003372;0.000354525;0.000370798;0.000292602;0.000352673;0.00832;0.02258;0.00708;0.0039421;0.0062;0.0044295;0.00708;0.00548;0.00633;0.00418;0;0.002219;0.003255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.024890524;0.024035812;0.023295183;0.022467291;0;0.03602;0;0;0;0.001295;0;0;0;0;0;0;0;0;0;0;0.462;0;0;0;0;0;0;0;0;0;0;0;0;0.0071;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;0.06349;0.00068;0.000815;0.000755;0.000906;0.00136;0.00158;0;0;0;0;0.000778;0;0.001053;0.00046;0.00095;0.00038;0.00069;0.0001843;0.0002025;0.0001527;0.0001568;0.000225608;0.000242085;0.000192112;0.000226386;0.00207;0.00577;0.00176;0.0015401;0.00167;0.00164;0.00176;0.00094;0.001;0.00107;0;0.00094;0.001274;0;0;0;0;0.000531;0.000592;0;0;0;0;0;0;0;0;0.00229205;0.002182457;0.002291216;0.002151678;0;0.02749;0.000571;0.000637;0;0.001295;0;0;0;0;0.000571;0.000637;0;0;0;0;0.449;0;0;0;0;0;0;0;0;0;0;0;0;0.00687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;0.0355;0.000353;0.000454;0.000392;0.000504;0.000703;0.000887;0;0;0;0;0.000402;0;0.000591;0.00025;0.00048;0.0002;0.00035;0.0001048;0.000135;0.0001159;0.0000941;0.000195335;0.00021292;0.000154556;0.00019635;0.00179;0.00414;0.00152;0.0013801;0.00141;0.0014901;0.00152;0.00067;0.00075;0.00099;0;0.000486;0.000715;0;0;0;0;0.000346;0.0004;0;0;0;0;0;0;0;0;0.001254954;0.001198062;0.001187885;0.001132416;0;0.02085;0.000372;0.00043;0;0.001295;0;0;0;0;0.000372;0.00043;0;0;0;0;0.436;0;0;0;0;0;0;0;0;0;0;0;0;0.00665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;0.02391;0.000261;0.000367;0.00029;0.000408;0.000521;0.000715;0;0;0;0;0.000298;0;0.000476;0.00016;0.0003;0.00013;0.00022;0.0000732;0.0001068;0.0000791;0.0000688;0.00018014;0.000199113;0.000134201;0.000181387;0.00172;0.00338;0.00146;0.00132;0.00135;0.00143;0.00146;0.0006;0.00068;0.00098;0;0.00036;0.000576;0;0;0;0;0.000258;0.000332;0;0;0;0;0;0;0;0;0.000921734;0.000880193;0.000778369;0.000750043;0;0.01575;0.000278;0.000357;0;0.001295;0;0;0;0;0.000278;0.000357;0;0;0;0;0.423;0;0;0;0;0;0;0;0;0;0;0;0;0.00644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;0.0177;0.000209;0.000321;0.000232;0.000357;0.000419;0.000627;0;0;0;0;0.00024;0;0.000417;0.00012;0.00022;0.0001;0.00016;0.00006;0.0000948;0.0000576;0.0000582;0.000171113;0.000191619;0.000121434;0.000172686;0.00165;0.00299;0.0014;0.001265;0.00129;0.0013749;0.0014;0.00053;0.00061;0.00095;0;0.00029;0.000505;0;0;0;0;0.000194;0.000259;0;0;0;0;0;0;0;0;0.000699398;0.000658644;0.000567657;0.000551681;0;0.01187;0.000208;0.000278;0;0.001295;0;0;0;0;0.000208;0.000278;0;0;0;0;0.41;0;0;0;0;0;0;0;0;0;0;0;0;0.00624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;0.0136;0.000171;0.000291;0.000189;0.000324;0.000339;0.000566;0;0.00037;0.00046;0.000215;0.000194;0.000419;0.000377;0.0001;0.00018;0.00008;0.00013;0.0000551;0.0000906;0.0000494;0.0000543;0.000165497;0.00018767;0.000113186;0.000167376;0.00159;0.00276;0.00135;0.001215;0.00124;0.001325;0.00135;0.00047;0.00055;0.0009;0;0.000234;0.000456;0.000171;0.00019;0.00038;0.000342;0.000175;0.000237;0;0;0;0;0;0;0;0;0.000479328;0.000468624;0.000441647;0.000432224;0;0.00897;0.000188;0.000255;0;0.001295;0;0;0;0;0.000188;0.000255;0;0;0;0;0.397;0;0;0;0;0;0;0;0;0;0;0;0;0.00605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;0.01137;0.000141;0.00027;0.000156;0.000301;0.000278;0.000526;0;0.00038;0.00042;0.000178;0.00016;0.000389;0.00035;0.00009;0.00016;0.00007;0.00012;0.0000543;0.0000909;0.0000471;0.0000539;0.000162164;0.000186193;0.000108768;0.000164163;0.00153;0.00261;0.0013;0.00117;0.00119;0.0012801;0.0013;0.00041;0.00049;0.00086;0;0.000193;0.000424;0.00014;0.000156;0.000353;0.000318;0.000163;0.000227;0;0;0;0;0;0;0;0;0.0003855;0.000372131;0.00036011;0.000354399;0;0.00687;0.000176;0.000244;0;0.001295;0;0;0;0;0.000176;0.000244;0;0;0;0;0.384;0;0;0;0;0;0;0;0;0;0;0;0;0.00587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;0.00975;0.000118;0.000257;0.000131;0.000286;0.000234;0.0005;0;0.00039;0.0004;0.000149;0.000134;0.00037;0.000333;0.00009;0.00015;0.00007;0.00011;0.0000558;0.0000938;0.0000475;0.0000555;0.000160832;0.00018667;0.000108979;0.000162911;0.00148;0.00247;0.00126;0.001135;0.00115;0.001245;0.00126;0.00036;0.00044;0.0008;0;0.000162;0.000403;0.000118;0.000131;0.000336;0.000302;0.000153;0.000217;0;0;0;0;0;0;0;0;0.000313938;0.000300602;0.000305743;0.00030208;0;0.0054;0.000165;0.000234;0;0.001295;0;0;0;0;0.000165;0.000234;0;0;0;0;0.371;0;0;0;0;0;0;0;0;0;0;0;0;0.0057;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;0.00863;0.000118;0.000294;0.000131;0.000328;0.000207;0.000487;0;0.0004;0.00039;0.000149;0.000134;0.000391;0.000352;0.00009;0.00015;0.00008;0.00011;0.0000588;0.0000987;0.0000496;0.0000584;0.000162156;0.000189483;0.000114891;0.000163382;0.00145;0.00231;0.00123;0.0011151;0.00112;0.0012199;0.00123;0.00032;0.0004;0.00076;0;0.000143;0.000392;0.000104;0.000116;0.000327;0.000294;0.000137;0.000201;0;0;0;0;0;0;0;0;0.000281258;0.000268813;0.000270577;0.000267761;0;0.00443;0.000147;0.000216;0;0.001295;0;0;0;0;0.000147;0.000216;0;0;0;0;0.358;0;0;0;0;0;0;0;0;0;0;0;0;0.00554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.3;0.0079;0.000121;0.000325;0.000134;0.000362;0.000193;0.000482;0;0.00041;0.00039;0.000151;0.000136;0.000409;0.000368;0.00011;0.00016;0.00009;0.00012;0.0000627;0.0001052;0.0000526;0.0000624;0.000167626;0.000196101;0.000127123;0.00016632;0.00142;0.00212;0.00121;0.0011099;0.00111;0.00121;0.00121;0.0003;0.00037;0.00074;0;0.000134;0.000389;0.000097;0.000108;0.000324;0.000292;0.00013;0.000194;0;0;0;0;0;0;0;0;0.000273112;0.000260615;0.000251446;0.000248354;0;0.00388;0.00014;0.000209;0;0.001295;0;0;0;0;0.00014;0.000209;0;0;0;0;0.345;0;0;0;0;0;0;0;0;0;0;0;0;0.00539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
