idade;qtda_vivo;qtda_morte
0;0;0
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0
19;0;0
20;91;0
21;24;0
22;62;0
23;96;0
24;157;0
25;258;0
26;329;0
27;533;1
28;722;0
29;977;0
30;1246;0
31;1520;1
32;1843;1
33;2125;2
34;2280;1
35;2560;1
36;2606;2
37;2992;3
38;3355;2
39;3312;1
40;3171;4
41;3128;1
42;2904;0
43;2991;4
44;2847;1
45;2672;3
46;2703;3
47;3059;4
48;3143;7
49;3130;3
50;3270;4
51;3790;8
52;4158;4
53;4546;5
54;5031;8
55;5273;11
56;5332;12
57;5286;12
58;5223;16
59;5294;18
60;5497;17
61;5659;21
62;5244;24
63;5004;20
64;5058;26
65;5162;35
66;4928;38
67;4756;40
68;4650;43
69;4751;45
70;4829;54
71;4574;53
72;4446;47
73;4182;48
74;4007;49
75;3760;58
76;3450;59
77;3089;60
78;2704;62
79;2546;65
80;2609;70
81;2370;72
82;2020;75
83;1865;76
84;1664;81
85;1445;70
86;1182;60
87;1031;64
88;1015;70
89;843;65
90;810;50
91;631;55
92;473;32
93;379;30
94;290;22
95;234;17
96;139;11
97;103;7
98;81;14
99;48;5
100;37;5
101;0;0
102;0;0
103;0;0
104;0;0
105;0;0
106;0;0
107;0;0
108;0;0
109;0;0
110;0;0
111;0;0
112;0;0
113;0;0
114;0;0
115;0;0
116;0;0
117;0;0
118;0;0
119;0;0
120;0;0
121;0;0
122;0;0
123;0;0
124;0;0
125;0;0
126;0;0
